Index;en;ru;tr;es;pt;id;fr;it;de;END
0;FIGHT!;В БОЙ!;KAVGA!;¡LUCHAR!;LUTAR!;TIDAK ADA HIT!;LUTTE!;COMBATTIMENTO!;KÄMPFEN!;
1;Level;Уровень;Seviye;Nivel;Nível;Tingkat;Niveau;Livello;Ebene;
2;Guns;Пушки;Toplar;Armas;Armas;Senjata;Armes à feu;Armi da fuoco;Waffen;
3;Upgrades;Улучшения;İyileştirmeler;Mejoras;Atualizações;Peningkatan;Mises à niveau;Aggiornamenti;Upgrades;
4;Try other games:;Другие игры:;Diğer oyunları deneyin:;Prueba otros juegos:;Experimente outros jogos:;Coba permainan lain:;Essayez d'autres jeux :;Prova altri giochi:;Probieren Sie andere Spiele aus:;
5;Return;Назад;Geri;Devolver;Retornar;Kembali;Retour;Ritorno;Rückkehr;
6;Upgrade;Улучшить;Geliştirmek;Mejorar;Melhorar;Peningkatan;Mise à niveau;Aggiornamento;Upgrade;
7;Full upgrade;Улучшить полностью;Tamamen geliştirin;Mejorar completamente;Melhorar completamente;Peningkatan penuh;Mise à niveau complète;Aggiornamento completo;Vollständiges Upgrade;
8;Sold;Продано;Satış;Vendido;Vendido;Terjual;Vendu;Venduto;Verkauft;
9;Pistol;Пистолет;Silah;Pistola;Pistola;Pistol;Pistolet;Pistola;Pistole;
10;Rifle;Винтовка;Tüfek;Rifle;Rifle;Senapan;Fusil;Fucile;Gewehr;
11;Shotgun;Дробовик;Pompalı tüfek;Escopeta;Espingarda;Senapan patah;Fusil à pompe;Fucile a pompa;Schrotflinte;
12;Minigun;Миниган;Minigun;Minigun;Minigun;Minigun;Minigun;Minigun;Minigun;
13;Rocket Launcher;Ракетница;Roketatar;Lanzacohetes;Lançador de foguetes;Peluncur roket;Lance-roquettes;Lanciarazzi;Raketenwerfer;
14;Lasergun;Лазерган;Lazer silahı;Pistola laser;Arma a laser;Pistol Laser;Pistolet laser;Lasergun;Lasergewehr;
15;Gauss Cannon;Гаусс пушка;Gauss Topu;Cañón Gauss;Canhão Gauss;Meriam Gauss;Canon Gauss;Cannone di Gauss;Gauss-Kanone;
16;Plasmagun;Плазмаган;Plazma tabancası;Pistola de plasma;Arma de plasma;Senjata plasma;Pistolet à plasma;Plasmagun;Plasmakanone;
17;Health;Здоровье;Sağlık;Salud;Saúde;Kesehatan;Santé;Salute;Gesundheit;
18;Speed;Скорость;Hız;Velocidad;Velocidade;Kecepatan;Vitesse;Velocità;Geschwindigkeit;
19;You Win!;Победа!;Sen kazandın!;¡Tú ganas!;Você ganha!;Kamu menang!;Vous gagnez!;Hai vinto!;Du gewinnst!;
20;Time:;Время:;Zaman:;Tiempo:;Tempo:;Waktu:;Temps:;Tempo:;Zeit:;
21;Enemies:;Враги:;Düşmanlar:;Enemigos:;Inimigos:;Musuh:;Coups reçus :;Nemici:;Feinde:;
22;Hits taken:;Удары:;Alınan isabetler:;Golpes recibidos:;Acertos obtidos:;Pukulan yang diambil:;Coups reçus :;Colpi presi:;Treffer erzielt:;
23;Reward:;Награда:;Ödül:;Premio:;Recompensa:;Hadiah:;Récompense:;Ricompensa:;Belohnung:;
24;Double reward;Удвоить награду;Çifte ödül;Doble recompensa;Recompensa dupla;Hadiah ganda;Double récompense;Doppia ricompensa;Doppelte Belohnung;
25;Continue;Продолжить;Devam etmek;Continuar;Continuar;Melanjutkan;Continuer;Continua;Weiter;
26;NO HIT!;БЕЗ УРОНА;İSABET YOK!;¡NO GOLPEAR!;SEM SUCESSO!;TIDAK ADA HIT!;AUCUN COUP !;NESSUN COLPO!;KEIN TREFFER!;
27;You're dead;Вы умерли;öldün;Estas muerto;Você está morto;Kamu mati;Tu es mort;Sei morto;Du bist tot;
28;Menu;Меню;Menü;Menú;Menu;Menu;Menu;Menu;Menü;
29;Try again;Попробовать снова;Tekrar deneyin;Intentar otra vez;Tente novamente;Coba lagi;Essayer à nouveau;Riprova;Erneut versuchen;
